Country,fossilFuel_PctTotalElec,OilProduction,Population,GDP_pc,Continent
Albania,0.05,22915,2880917,5372,Europe
Algeria,0.96,1348361,43053054,3980,Africa
Angola,0.34,1769615,31825295,3037,Africa
Argentina,0.69,510560,44780677,9887,South America
Australia,0.72,289749,25203198,53825,Oceania
Austria,0.25,15161,8955102,50022,Europe
Azerbaijan,0.84,833538,10047718,4689,Europe/Asia
Bahrain,1,40000,1641172,25273,Asia
Bangladesh,0.97,4189,163046161,1905,Asia
Barbados,0.93,1000,287025,18069,North America
Belarus,0.96,25000,9452411,6603,Europe
Belize,0.51,2000,390353,4925,North America
Bolivia,0.76,58077,11513100,3670,South America
Brazil,0.17,2515459,211049527,8796,South America
Brunei,1,109117,433285,27871,Asia
Bulgaria,0.39,1000,7000119,9518,Europe
Burma,0.39,15000,54045420,1244,Asia
Cameroon,0.52,93205,25876380,1514,Africa
Canada,0.23,3662694,37411047,46212,North America
Chad,0.98,110156,15946876,861,Africa
Chile,0.59,4423,18952038,15399,South America
China,0.62,3980650,1433783686,10098,Asia
Colombia,0.29,897784,50339443,6508,South America
"Congo, Democratic Republic of the",0.02,20000,86790567,500,Africa
"Congo, Republic of the",0.64,308363,5380508,2534,Africa
Croatia,0.45,13582,4130304,14949,Europe
Czechia,0.6,2333,10689209,23213,Europe
Denmark,0.46,140637,5771876,59795,Europe
Ecuador,0.43,548421,17373662,6249,South America
Egypt,0.91,490000,100388073,3046,Africa
Equatorial Guinea,0.61,227000,1355986,8927,Africa
France,0.17,16418,65129728,41760,Europe
Gabon,0.51,210820,2172579,8112,Africa
Georgia,0.35,400,3996765,4289,Europe/Asia
Germany,0.41,46839,83517045,46563,Europe
Ghana,0.58,100549,28833629,2223,Africa
Greece,0.57,3172,10473455,19974,Europe
Guatemala,0.41,8977,17581472,4616,North America
Hungary,0.64,13833,9684679,17463,Europe
India,0.71,715459,1366417754,2171,Asia
Indonesia,0.85,833667,270625568,4163,Asia
Iran,0.84,3990956,82913906,5506,Asia
Iraq,0.91,4451516,39309783,5738,Asia
Israel,0.95,390,8519377,42823,Asia
Italy,0.54,70675,60550075,32946,Europe
Japan,0.71,3918,126860301,40846,Asia
Kazakhstan,0.86,1595199,18551427,9139,Europe/Asia
Kuwait,1,2923825,4207083,29266,Asia
Kyrgyzstan,0.24,1000,6415850,1292,Asia
Libya,1,1003000,6777452,5019,Africa
Lithuania,0.73,2000,2759627,19266,Europe
Malaysia,0.78,661240,31949777,11136,Asia
Mauritania,0.65,5000,4525696,1392,Africa
Mexico,0.71,2186877,127575529,10118,North America
Mongolia,0.87,23426,3225167,4132,Asia
Morocco,0.68,160,36471769,3345,Africa
Netherlands,0.75,18087,17097130,52367,Europe
New Zealand,0.23,35574,4783063,40634,Oceania
Niger,0.95,13000,23310715,405,Africa
Nigeria,0.8,1999885,200963599,2222,Africa
Norway,0.03,1647975,5378857,77975,Europe
Oman,1,1006841,4974986,17791,Asia
Pakistan,0.62,80000,216565318,1388,Asia
Papua New Guinea,0.63,56667,8776109,2742,Oceania
Peru,0.61,40266,32510453,7046,South America
Philippines,0.67,20000,108116615,3294,Asia
Poland,0.79,20104,37887768,14901,Europe
Romania,0.47,504000,19364557,12482,Europe
Russia,0.68,10800000,145872256,11162,Europe/Asia
Saudi Arabia,1,1.2E+07,34268528,22865,Asia
Serbia,0.65,20000,8772235,7397,Europe
Slovakia,0.36,200,5457013,19547,Europe
South Africa,0.85,2000,58558270,6100,Africa
Spain,0.47,2667,46736776,29961,Europe
Sudan,0.44,255000,42813238,714,Africa
Suriname,0.61,17000,581372,6310,South America
Taiwan,0.79,196,23773876,24827,Asia
Tajikistan,0.06,180,9321018,877,Asia
Thailand,0.76,257525,69037513,7791,Asia
Timor-Leste,0,60661,1293119,2262,Asia
Trinidad and Tobago,1,60090,1394973,16365,North America
Tunisia,0.94,48757,11694719,3287,Africa
Turkey,0.53,49497,83429615,8957,Europe/Asia
Turkmenistan,1,230779,5942089,7816,Asia
Ukraine,0.65,31989,43993638,3592,Europe
United Arab Emirates,0.99,3106077,9770529,37749,Asia
United Kingdom,0.5,939760,67530172,41030,Europe
United States,0.7,15043000,329064917,65111,North America
Uzbekistan,0.86,52913,32981716,1831,Asia
Venezuela,0.51,2276967,28515829,2547,South America
Vietnam,0.56,301850,96462106,2740,Asia
Yemen,0.79,22000,29161922,943,Asia
